frequency,raw
20.00,9.51
20.20,9.57
20.40,9.62
20.61,9.68
20.81,9.74
21.02,9.78
21.23,9.83
21.44,9.87
21.66,9.90
21.87,9.94
22.09,9.97
22.31,10.00
22.54,10.02
22.76,10.04
22.99,10.06
23.22,10.06
23.45,10.08
23.69,10.07
23.92,10.08
24.16,10.07
24.40,10.06
24.65,10.05
24.89,10.04
25.14,10.02
25.39,10.01
25.65,9.99
25.91,9.97
26.16,9.94
26.43,9.92
26.69,9.89
26.96,9.86
27.23,9.83
27.50,9.79
27.77,9.76
28.05,9.73
28.33,9.69
28.62,9.65
28.90,9.61
29.19,9.56
29.48,9.52
29.78,9.48
30.08,9.43
30.38,9.37
30.68,9.33
30.99,9.28
31.30,9.22
31.61,9.17
31.93,9.11
32.24,9.05
32.57,9.00
32.89,8.94
33.22,8.89
33.55,8.83
33.89,8.77
34.23,8.71
34.57,8.66
34.92,8.60
35.27,8.54
35.62,8.49
35.97,8.43
36.33,8.38
36.70,8.32
37.06,8.27
37.43,8.22
37.81,8.16
38.19,8.11
38.57,8.05
38.95,8.00
39.34,7.95
39.74,7.89
40.14,7.84
40.54,7.78
40.94,7.73
41.35,7.68
41.76,7.63
42.18,7.58
42.60,7.52
43.03,7.47
43.46,7.42
43.90,7.38
44.33,7.33
44.78,7.27
45.23,7.23
45.68,7.18
46.13,7.14
46.60,7.09
47.06,7.04
47.53,7.00
48.01,6.95
48.49,6.90
48.97,6.85
49.46,6.81
49.96,6.76
50.46,6.72
50.96,6.68
51.47,6.63
51.99,6.59
52.51,6.55
53.03,6.50
53.56,6.46
54.10,6.43
54.64,6.38
55.18,6.34
55.74,6.30
56.29,6.25
56.86,6.21
57.42,6.17
58.00,6.13
58.58,6.09
59.16,6.05
59.76,6.01
60.35,5.97
60.96,5.92
61.57,5.89
62.18,5.85
62.80,5.81
63.43,5.76
64.07,5.71
64.71,5.68
65.35,5.63
66.01,5.59
66.67,5.55
67.33,5.51
68.01,5.46
68.69,5.43
69.37,5.38
70.07,5.34
70.77,5.30
71.48,5.25
72.19,5.20
72.91,5.16
73.64,5.11
74.38,5.06
